Subject_ID,Epoch_ID,Delta_Mean_Freq,Theta_Mean_Freq,Alpha_Mean_Freq,Beta_Mean_Freq,Gamma_Mean_Freq,Delta_LZC,Theta_LZC,Alpha_LZC,Beta_LZC,Gamma_LZC,PAC_Delta_Beta,PAC_Delta_Gamma,PAC_Theta_Beta,PAC_Theta_Gamma,PAC_Alpha_Beta,PAC_Alpha_Gamma,Kuramoto_Delta,Kuramoto_Theta,Kuramoto_Alpha,Kuramoto_Beta,Kuramoto_Gamma,MI_Delta,MI_Theta,MI_Alpha,MI_Beta,MI_Gamma,Group,Delta_RBP,Theta_RBP,Alpha_RBP,Beta_RBP,Gamma_RBP
sub-001,sub-001_ep0000,1.6402396381764426,5.556964153289845,9.578183743874026,17.539658788026493,32.905926578331666,0.0649289858960255,0.1578495790450042,0.1976726903945665,0.3165648779019555,0.383225303421875,0.0099532382924909,0.0140301593235696,0.0014628232106585,0.0024062988548313,0.0007116768373919,0.000993862642295,0.952309239761637,0.886667320916989,0.8891517694582206,0.8531268722422284,0.6838751805912054,1.2569273270216164,0.782428430660121,0.719416640339484,0.557453094753176,0.2697730869838142,A,0.8718281618046158,0.08782192090535162,0.03097691087941806,0.022073617579974728,0.014836866516938807
sub-001,sub-001_ep0001,1.2636025534233488,5.297218935758724,9.978289239406688,17.177341257683853,32.58777043561886,0.0692575849557605,0.1451523551364481,0.2017127161836525,0.3061762401585914,0.397076820413027,0.0073729031060873,0.0101001197464836,0.001408219867964,0.0025886081404539,0.0005065160800287,0.0005775417029125,0.9729426372876874,0.8329855179571645,0.8553203568965122,0.8627176169653429,0.680270104430859,1.2359470162150974,0.6551050066183268,0.6394060269644519,0.5894525005212355,0.2711559568193597,A,0.8583982005353703,0.11432910833615029,0.024931150882257794,0.02234925545586837,0.009857918351886465
sub-001,sub-001_ep0002,1.2411738019672516,5.504574579568424,10.279412637051346,17.79136231392593,32.25129099211231,0.0655061324373235,0.138226596640872,0.2100813410324736,0.2992504816630154,0.3939025144358881,0.0081824212169562,0.0116354745059501,0.0007109643551284,0.0010806428575689,0.000411072865114,0.000763749141144,0.96183358393556,0.8558984213546027,0.8640541760762078,0.8490816041503348,0.6650669400838528,1.2102072363145726,0.7262694782442839,0.6187278417097714,0.5920477341207823,0.2377824942794119,A,0.8767843863148337,0.08412814041465558,0.019812212039264684,0.020459471650131483,0.01061536435672978
sub-001,sub-001_ep0003,1.8967502762224129,5.383784019413861,10.495495763841118,17.017366327228178,31.46498611474852,0.0608889601069394,0.1454409284070971,0.1930555180641825,0.3133905719248164,0.3941910877065371,0.0079693656902206,0.0096570959679494,0.0025661699559245,0.0012033958264579,0.0003284374644936,0.0010152284088059,0.9622889609753144,0.9557316463874654,0.9246905534461922,0.8615645176926169,0.6474896388632752,1.2682283758560708,0.8399948938225003,0.7567993152449235,0.6738746354629963,0.2368245949139225,A,0.8069158711216222,0.16741278989462108,0.04061111708154148,0.025159614123323494,0.014927961262246959
sub-001,sub-001_ep0004,1.3626519944846252,5.152836561613447,10.775765152161028,17.31295208028874,31.387262759664186,0.0617546799188864,0.1532324067146201,0.1965183973119705,0.3035790807227504,0.3771652647382459,0.00937929513586,0.0088089684128246,0.0016417857061135,0.0015708846446084,0.0002817797532346,0.0008317356495636,0.968564354006094,0.8775553901881384,0.8865770847484992,0.8701103817134228,0.6275930331530759,1.3847824171940042,0.6830390201000827,0.7524690307387814,0.6728381989492281,0.2238097482620329,A,0.8618447580808564,0.11287629998471072,0.03596527965347646,0.02468419460817775,0.010096414507444045
sub-001,sub-001_ep0005,1.3050722111304467,5.346170279606348,10.247670739242604,17.76691973097803,32.32396118318705,0.0490574560103303,0.1540981265265672,0.2121013539270166,0.3047333738053464,0.3918825015413451,0.0080975414824907,0.0087876886361957,0.0010260155996678,0.0026133031050586,0.0003726674896344,0.0008223333503688,0.9839941379866334,0.840233835206898,0.8372848266104295,0.8463901406384667,0.6274162200199674,1.4382879946240714,0.6088481139272806,0.6681733293636147,0.607599619692902,0.2216652377286919,A,0.9142805254504829,0.06270348296532989,0.018299798680356666,0.018097134146053385,0.006655929106810602
sub-001,sub-001_ep0006,1.439295104450088,5.991313408096027,9.818579928096913,17.079284878567734,32.38205305312757,0.0675261453318665,0.1463066482190441,0.2181613926106457,0.3116591323009224,0.3936139411652391,0.0067638510698135,0.0092135217098718,0.0016089564826837,0.0026802244923388,0.0008147894295947,0.0008073913550695,0.9496762429935844,0.8513654761080679,0.7620849108461749,0.8025392147721077,0.6662833833336319,1.1817788047340796,0.6935101559849942,0.4719986199862324,0.5675618510019591,0.2678634133290409,A,0.8150836020608153,0.11387050447532324,0.03731738235895596,0.03671567346887905,0.016344104859158815
sub-001,sub-001_ep0007,1.8467430590416427,5.578117479233265,10.32804036673473,16.740517795437874,32.09318456037069,0.0620432531895354,0.1506352472787792,0.2190271124225927,0.3038676539933994,0.3999625531195172,0.005596210666048,0.0077005574793893,0.0013218268132038,0.0016874931899196,0.0006305401280685,0.0008804800723115,0.9702053920492776,0.7900503450959417,0.7307993704363325,0.8042515075503683,0.6976952770325873,1.1214862519072395,0.6163754509851587,0.37082162683808,0.4989050748477207,0.2822878894387612,A,0.7895279005032709,0.1365570089495697,0.04594968986780748,0.039413310347292854,0.022523999672247587
sub-001,sub-001_ep0008,1.4688456431782229,5.5023632396829285,10.227889483601825,17.630887546398046,31.29091174356101,0.0649289858960255,0.1454409284070971,0.2100813410324736,0.2969418954978233,0.3863996093990141,0.0076669209457938,0.0080380826565691,0.0014129198816499,0.001400501293319,0.0005336159751812,0.000708502764838,0.9605282373472712,0.7885827369684403,0.8069496020311314,0.8340782339291914,0.7173029276776962,1.167194514839271,0.5825085463290869,0.5222701845401571,0.5110584883616626,0.2936712488452169,A,0.8688242306674967,0.08701943680818652,0.026804167638883433,0.02205606428876348,0.012714895236677244
sub-001,sub-001_ep0009,1.2370594295743031,5.090197405805681,9.82862927705754,17.411277736170288,32.17844054598675,0.0548289214233104,0.1414009026180111,0.2121013539270166,0.2975190420391213,0.392748221353292,0.0092261902786574,0.0112627390807178,0.0010953053912048,0.0012647404888012,0.0007584232810029,0.0006540800420248,0.9773517698324636,0.881359958759015,0.8290458949291384,0.8340421321241507,0.7284385639608557,1.2717828706869674,0.760340518990465,0.621481039834228,0.5178379803659348,0.2981044476307273,A,0.8898914669601715,0.09997112082328063,0.028338160656217592,0.016168910061166882,0.008246269629503677
